LP.	Data	Typ instrumentu	Nazwa	ISIN	Kurs otwarcia	Kurs maksymalny	Kurs minimalny	Kurs zamkniecia	Zmiana	Wolumen obrotu	Liczba transakcji	Wartosc obrotu w tys. zl	Liczba otwartych pozycji	Wartosc otwartych pozycji w mln zl	Cena nominalna obligacji	Waluta
439	2015-10-01	10	LOTOS	PLLOTOS00025	28,11	28,85	28,02	28,46	1,82	183541	2000	5208,51	0	0	0	PLN
440	2015-10-02	10	LOTOS	PLLOTOS00025	28,5	28,81	28,1	28,7	0,84	175817	603	5040,27	0	0	0	PLN
441	2015-10-05	10	LOTOS	PLLOTOS00025	28,81	29,78	28,7	29,3	2,09	156786	1299	4600,36	0	0	0	PLN
442	2015-10-06	10	LOTOS	PLLOTOS00025	29,38	29,64	29,21	29,64	1,16	101746	1016	2993,28	0	0	0	PLN
443	2015-10-07	10	LOTOS	PLLOTOS00025	29,55	30,05	29,23	30,05	1,38	464285	3037	13829,45	0	0	0	PLN
444	2015-10-08	10	LOTOS	PLLOTOS00025	30,1	30,94	29,47	30,66	2,03	311704	2190	9391,17	0	0	0	PLN
445	2015-10-09	10	LOTOS	PLLOTOS00025	30,65	31,17	30,65	30,8	0,46	364008	2505	11272,74	0	0	0	PLN
446	2015-10-12	10	LOTOS	PLLOTOS00025	31,07	31,07	30,05	30,2	-1,95	268223	1618	8115,01	0	0	0	PLN
447	2015-10-13	10	LOTOS	PLLOTOS00025	30,1	30,12	29,03	29,38	-2,72	154858	959	4545,54	0	0	0	PLN
448	2015-10-14	10	LOTOS	PLLOTOS00025	29,32	30,48	29,32	30,48	3,74	158469	1276	4748,32	0	0	0	PLN
449	2015-10-15	10	LOTOS	PLLOTOS00025	29,99	30,1	29,52	29,8	-2,23	130499	784	3896,18	0	0	0	PLN
450	2015-10-16	10	LOTOS	PLLOTOS00025	30	30,14	29,37	29,52	-0,94	112316	845	3337,6	0	0	0	PLN
451	2015-10-19	10	LOTOS	PLLOTOS00025	29,55	29,99	29,55	29,91	1,32	72297	660	2156,52	0	0	0	PLN
452	2015-10-20	10	LOTOS	PLLOTOS00025	29,85	29,91	29,45	29,6	-1,04	163653	1450	4844,46	0	0	0	PLN
453	2015-10-21	10	LOTOS	PLLOTOS00025	29,9	29,9	28,83	28,9	-2,36	227306	1950	6636,71	0	0	0	PLN
454	2015-10-22	10	LOTOS	PLLOTOS00025	29,14	29,2	28,65	28,65	-0,87	235192	1323	6822,52	0	0	0	PLN
455	2015-10-23	10	LOTOS	PLLOTOS00025	29,13	29,55	28,95	29,05	1,4	349042	2879	10186,44	0	0	0	PLN
456	2015-10-26	10	LOTOS	PLLOTOS00025	29	29,32	28,7	28,9	-0,52	203437	1375	5904,78	0	0	0	PLN
457	2015-10-27	10	LOTOS	PLLOTOS00025	28,9	29,37	28,42	28,51	-1,35	227947	1368	6519,61	0	0	0	PLN
458	2015-10-28	10	LOTOS	PLLOTOS00025	28,51	28,58	28,01	28,25	-0,91	287353	2069	8110,12	0	0	0	PLN
459	2015-10-29	10	LOTOS	PLLOTOS00025	28,47	28,47	27,62	28	-0,88	601702	2193	16823,61	0	0	0	PLN
460	2015-10-30	10	LOTOS	PLLOTOS00025	28	28,58	27,75	28,46	1,64	258903	1279	7330,71	0	0	0	PLN
461	2015-11-02	10	LOTOS	PLLOTOS00025	28,46	29,09	28,46	28,9	1,55	393557	1269	11384,47	0	0	0	PLN
462	2015-11-03	10	LOTOS	PLLOTOS00025	29,01	29,05	28,18	28,44	-1,59	289329	1096	8259,87	0	0	0	PLN
463	2015-11-04	10	LOTOS	PLLOTOS00025	28,78	28,78	28,51	28,77	1,16	289498	1722	8300,81	0	0	0	PLN
464	2015-11-05	10	LOTOS	PLLOTOS00025	28,5	28,75	28,36	28,56	-0,73	140565	1047	4014,19	0	0	0	PLN
465	2015-11-06	10	LOTOS	PLLOTOS00025	28,77	28,77	27,51	27,85	-2,49	405970	2880	11333,96	0	0	0	PLN
466	2015-11-09	10	LOTOS	PLLOTOS00025	28	28,19	27,2	27,51	-1,22	271802	1691	7476,49	0	0	0	PLN
467	2015-11-10	10	LOTOS	PLLOTOS00025	27,8	28,44	27,51	28,3	2,87	215658	1538	6013,09	0	0	0	PLN
468	2015-11-12	10	LOTOS	PLLOTOS00025	28,5	28,5	27,37	27,73	-2,01	356070	1691	9855,66	0	0	0	PLN
469	2015-11-13	10	LOTOS	PLLOTOS00025	27,5	27,67	26,85	27,01	-2,6	163713	1222	4453,05	0	0	0	PLN
470	2015-11-16	10	LOTOS	PLLOTOS00025	26,95	27,77	26,55	27,7	2,55	259118	2499	7067,74	0	0	0	PLN
471	2015-11-17	10	LOTOS	PLLOTOS00025	27,82	28,19	27,48	27,71	0,04	177875	1638	4946,08	0	0	0	PLN
472	2015-11-18	10	LOTOS	PLLOTOS00025	28	28,1	27,66	28	1,05	194199	1004	5409,42	0	0	0	PLN
473	2015-11-19	10	LOTOS	PLLOTOS00025	28,19	28,94	28,19	28,66	2,36	341290	1192	9761,92	0	0	0	PLN
474	2015-11-20	10	LOTOS	PLLOTOS00025	28,66	28,74	28,23	28,6	-0,21	162941	854	4645,53	0	0	0	PLN
475	2015-11-23	10	LOTOS	PLLOTOS00025	28,65	28,9	28,02	28,5	-0,35	220421	1667	6297,66	0	0	0	PLN
476	2015-11-24	10	LOTOS	PLLOTOS00025	28,77	28,9	28,21	28,85	1,23	399887	1971	11449,36	0	0	0	PLN
477	2015-11-25	10	LOTOS	PLLOTOS00025	28,85	28,94	28,4	28,87	0,07	248710	2504	7166,92	0	0	0	PLN
478	2015-11-26	10	LOTOS	PLLOTOS00025	28,98	29,09	28,58	28,91	0,14	134377	1736	3885,23	0	0	0	PLN
479	2015-11-27	10	LOTOS	PLLOTOS00025	28,98	29,08	28,55	28,9	-0,03	144022	1217	4159,81	0	0	0	PLN
480	2015-11-30	10	LOTOS	PLLOTOS00025	28,95	28,98	28,41	28,51	-1,35	752856	2740	21507,75	0	0	0	PLN
481	2015-12-01	10	LOTOS	PLLOTOS00025	28,61	29	28,42	29	1,72	218448	1215	6285,97	0	0	0	PLN
482	2015-12-02	10	LOTOS	PLLOTOS00025	29	29,1	28,46	28,77	-0,79	261550	1489	7538,24	0	0	0	PLN
483	2015-12-03	10	LOTOS	PLLOTOS00025	28,82	28,9	28,01	28,68	-0,31	189642	1652	5395,84	0	0	0	PLN
484	2015-12-04	10	LOTOS	PLLOTOS00025	28,4	28,67	27,05	28,44	-0,84	283907	1869	7935	0	0	0	PLN
485	2015-12-07	10	LOTOS	PLLOTOS00025	28,44	28,81	28,3	28,41	-0,11	85848	750	2454,35	0	0	0	PLN
486	2015-12-08	10	LOTOS	PLLOTOS00025	28,35	28,55	28,24	28,4	-0,04	122261	719	3474,91	0	0	0	PLN
487	2015-12-09	10	LOTOS	PLLOTOS00025	28,2	28,4	27,75	28	-1,41	244289	1145	6864,59	0	0	0	PLN
488	2015-12-10	10	LOTOS	PLLOTOS00025	28	28,19	27,41	27,5	-1,79	386460	4071	10688,41	0	0	0	PLN
